SOURCE,SCORE,CHEST_COUNT
Level 25 Crypt,574475,2089
Level 20 epic Crypt,200088,1191
Level 25 epic Crypt,198000,360
Level 30 rare Crypt,179500,359
Level 25 rare Crypt,159950,457
Level 30 Citadel,84740,223
Level 20 Crypt,83916,999
Level 35 epic Crypt,41000,41
Level 30 epic Crypt,39750,53
Level 20 rare Crypt,31626,251
Epic Undead squad,28000,56
Level 25 Citadel,27486,114
Epic Ancient squad,25000,2500
Bank,12270,99
Rise of the Ancients event,12130,1213
Level 15 Crypt,7463,439
Level 20 Citadel,7434,103
Shadow City,7000,14
Authority Rush tournament,5600,56
Level 15 epic Crypt,4284,126
