PLAYER,SCORE
GUARDIENoffHUNDER,174732
Kajurus,155224
Bumblebee,75471
Reckless,74160
Bruno,73081
Sir Nightwoolf,60955
Schmerztherapeut,58344
Angus,54508
Alisea,52643
Hammerschlag1,49878
Mahoni,44226
DerBremer SK,40998
Moraron,38095
Cordaginn,37015
Cenn,35537
Runebinder,34900
Zeus,34011
Dexter,33658
Daledeyl,32285
Mork vom Ork,29365
Metaur,28745
Triple X,27483
Feldjäger,27089
KAC29,26994
Dagdarim,24972
Iron Loyalty,24836
Landfleischerei,24763
Herzog Ropp,23826
Moony,21745
Fluxsfire,20226
Simply Mani,17798
Court Jester Herzi,17750
Tyroler Bua,15618
OsmanliTorunu,14976
Hausarzt,14780
Ragnar Ansgar,14253
BAFUR,13396
Sir Met,12940
Dacage,12212
Volkspark,11938
Krümelmonster,10566
Alf,9659
Tugo,9609
Heidi,8871
Koriander,8538
Drachen 2,8446
Sador,8440
GoldRush,8000
Weinkeller,7563
Thommy,7555
Dschingis Khan,7448
Lacks der Friedliche,7375
Der rosa Tanga,6670
Roin,6612
Shoppingqueen49x2,5657
Darkhammer,5415
Dervilas,5145
nobe,5096
Corda 1004,5061
Fluxs,5012
El Paulo,4656
Pink Rektalforscher,3615
Montrius,2889
Leviathan,2765
Arindis,2709
Snowweaver,2011
Lord Ore,1925
Anararad,1535
Django,1101
Engelchen,1066
Apotheke,1012
Alexa Elly,1008
Frau Blume,955
Asterix,407
chipolatta,292
D4rkBlizZ4rD,280
rainstream,265
DrKingSchultz,218
Julius Casar,210
Muggeseggele,175
Bierbérse,168
DR STRANGE,152
Aralas,148
Noch ein Cenn,130
Nyx,130
nobby,107
GoT CP,105
Bobi,3
Asor,3
Lupa,3
Rocky,3
